2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.9)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 102.56)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 111.35)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 112.92)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.14)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 103.84)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 111.24)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.45)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 121.49)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.13)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 109.81)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 113.76)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 113.37)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.08)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 104.8)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 112.11)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 106.36)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.01)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 112.9)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 107.29)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 101.22)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 118.58)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 106.07)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 115.61)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 113.34)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 108.41)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.09)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 109.37)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 104.57)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.33)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 112.94)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 118.0)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 102.57)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 109.08)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.36)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 102.06)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'oil_quality_index': in_range(0, 100) failed (value: 100.57)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'oil_quality_index': in_range(0, 100) failed (value: 100.34)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'oil_quality_index': in_range(0, 100) failed (value: 100.49)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 107.76)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 104.86)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 100.32)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 108.75)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 117.73)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 113.16)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 107.13)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 106.11)
2026-07-13 04:47:42 | WARNING  | __main__ |    Column 'ambient_humidity': in_range(0, 100) failed (value: 115.49)
